# JWST blank sky Saha et al.
# https://arxiv.org/pdf/2503.14582
# mass [eV]     photon coupling [GeV^-1]
# Limits from https://arxiv.org/abs/2503.14582
# mass [eV]	photon coupling [GeV^-1]
4.707632e-01	1.0
4.707632e-01	5.836858e-11
4.707798e-01	5.471101e-11
4.708226e-01	5.620008e-11
4.708392e-01	5.112215e-11
4.708820e-01	5.496049e-11
4.708987e-01	4.821131e-11
4.709415e-01	5.458953e-11
4.709581e-01	4.608007e-11
4.710010e-01	5.506400e-11
4.710114e-01	5.886961e-11
4.710175e-01	4.451545e-11
4.710604e-01	5.639144e-11
4.710709e-01	5.768843e-11
4.710770e-01	4.344515e-11
4.711199e-01	5.860209e-11
4.711304e-01	5.698396e-11
4.711365e-01	4.281627e-11
4.711899e-01	5.669045e-11
4.711960e-01	4.259052e-11
4.712494e-01	5.674657e-11
4.712555e-01	4.273970e-11
4.713090e-01	5.709486e-11
4.713150e-01	4.324068e-11
4.713459e-01	5.740342e-11
4.713685e-01	5.766398e-11
4.713746e-01	4.426818e-11
4.714054e-01	5.440826e-11
4.714281e-01	5.838687e-11
4.714341e-01	4.542007e-11
4.714649e-01	5.217866e-11
4.714877e-01	5.918477e-11
4.714937e-01	4.682461e-11
4.715245e-01	5.059777e-11
4.715473e-01	5.997067e-11
4.715533e-01	4.842010e-11
4.715841e-01	4.955490e-11
4.716129e-01	5.008284e-11
4.716436e-01	4.895884e-11
4.716725e-01	5.168968e-11
4.716732e-01	5.966327e-11
4.717032e-01	4.872714e-11
4.717322e-01	5.310217e-11
4.717328e-01	5.990905e-11
4.717628e-01	4.879449e-11
4.717918e-01	5.419749e-11
4.718225e-01	4.907305e-11
4.718515e-01	5.490892e-11
4.718821e-01	4.950960e-11
4.719112e-01	5.523656e-11
4.719418e-01	5.005054e-11
4.719650e-01	5.904026e-11
4.719709e-01	5.524102e-11
4.720014e-01	5.066070e-11
4.720248e-01	5.792174e-11
4.720306e-01	5.502112e-11
4.720611e-01	5.131784e-11
4.720845e-01	5.678497e-11
4.720903e-01	5.468049e-11
4.720979e-01	5.606578e-11
